"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","GP"
"Torrey Mitchell","Montreal Canadiens",1200000,"C",17,5,32,0.183431952662722,78
"Trevor Lewis","Los Angeles Kings",2e+06,"C",24,-6,30,0.827027027027027,82
"Troy Brouwer","Calgary Flames",4500000,"RW",25,-11,31,0.539267015706806,74
"Ty Rattie","St. Louis Blues",7e+05,"RW",2,-2,23,0.467005076142132,9
"Tyler Gaudet","Arizona Coyotes",2112642.72596154,"C",1,0,23,0.258536585365854,4
"Tyler Graovac","Minnesota Wild",625000,"C",9,7,23,0.437810945273632,52
"Tyler Wotherspoon","Calgary Flames",2112642.72596154,"D",0,-2,23,0.421621621621622,4
"William Karlsson","Columbus Blue Jackets",1e+06,"C",25,10,24,0.590163934426229,81
"Xavier Ouellet","Detroit Red Wings",1250000,"D",12,2,23,0.296482412060302,66
"Yannick Weber","Nashville Predators",650000,"D",8,1,28,0.976608187134503,73
"Zac Dalpe","Columbus Blue Jackets",725000,"C",3,0,27,0.582474226804124,9
"Zach Bogosian","Buffalo Sabres",5142857,"D",11,-17,26,0.95,56
"Zach Redmond","Montreal Canadiens",612500,"D",5,6,28,0.0276243093922652,16
"Aaron Dell","San Jose Sharks",625000,"G",0,0,26,0.5,53
"Al Montoya","Montreal Canadiens",1062500,"G",0,0,26,0.5,53
"Alex Stalock","Minnesota Wild",650000,"G",0,0,26,0.5,53
"Andrew Hammond","Ottawa Senators",1350000,"G",0,0,26,0.5,53
"Antoine Bibeau","Toronto Maple Leafs",2112642.72596154,"G",0,0,26,0.5,53
"Anton Forsberg","Columbus Blue Jackets",2112642.72596154,"G",0,0,26,0.5,53
"Anton Khudobin","Boston Bruins",1200000,"G",0,0,26,0.5,53
"Antti Niemi","Dallas Stars",4500000,"G",0,0,26,0.5,53
"Antti Raanta","New York Rangers",1e+06,"G",0,0,26,0.5,53
"Calvin Pickard","Colorado Avalanche",1e+06,"G",0,0,26,0.5,53
"Cam Ward","Carolina Hurricanes",3300000,"G",0,0,26,0.5,53
"Carter Hutton","St. Louis Blues",1125000,"G",0,0,26,0.5,53
"Chris Driedger","Ottawa Senators",2112642.72596154,"G",0,0,26,0.5,53
"Daniel Altshuller","Carolina Hurricanes",2112642.72596154,"G",0,0,26,0.5,53
"Dustin Tokarski","Anaheim Ducks",650000,"G",0,0,26,0.5,53
"Eddie Lack","Carolina Hurricanes",2750000,"G",0,0,26,0.5,53
"Garret Sparks","Toronto Maple Leafs",2112642.72596154,"G",0,0,26,0.5,53
"Henri Kiviaho","Dallas Stars",2112642.72596154,"G",0,0,26,0.5,53
"Jack Campbell","Los Angeles Kings",612500,"G",0,0,26,0.5,53
"Jared Coreau","Detroit Red Wings",612500,"G",0,0,26,0.5,53
"Jaroslav Halak","New York Islanders",4500000,"G",0,0,26,0.5,53
"Jeff Glass","Chicago Blackhawks",612500,"G",0,0,26,0.5,53
"Jeff Zatkoff","Los Angeles Kings",9e+05,"G",0,0,26,0.5,53
"Joonas Korpisalo","Columbus Blue Jackets",9e+05,"G",0,0,26,0.5,53
"Jordan Binnington","St. Louis Blues",2112642.72596154,"G",0,0,26,0.5,53
"Kari Lehtonen","Dallas Stars",5900000,"G",0,0,26,0.5,53
"Kristers Gudlevskis","Tampa Bay Lightning",2112642.72596154,"G",0,0,26,0.5,53
"Laurent Brossoit","Edmonton Oilers",750000,"G",0,0,26,0.5,53
"Linus Ullmark","Buffalo Sabres",750000,"G",0,0,26,0.5,53
"Louis Domingue","Arizona Coyotes",1050000,"G",0,0,26,0.5,53
"Mackenzie Skapski","New York Rangers",2112642.72596154,"G",0,0,26,0.5,53
"Malcolm Subban","Boston Bruins",2112642.72596154,"G",0,0,26,0.5,53
"Marc-Andre Fleury","Pittsburgh Penguins",5750000,"G",0,0,26,0.5,53
"Marek Mazanec","Nashville Predators",2112642.72596154,"G",0,0,26,0.5,53
"Maxime Lagace","Dallas Stars",2112642.72596154,"G",0,0,26,0.5,53
"Michael Hutchinson","Winnipeg Jets",1150000,"G",0,0,26,0.5,53
"Michal Neuvirth","Philadelphia Flyers",2500000,"G",0,0,26,0.5,53
"Oscar Dansk","Columbus Blue Jackets",2112642.72596154,"G",0,0,26,0.5,53
"Petr Mrazek","Detroit Red Wings",4e+06,"G",0,0,26,0.5,53
"Philipp Grubauer","Washington Capitals",2112642.72596154,"G",0,0,26,0.5,53
"Richard Bachman","Vancouver Canucks",650000,"G",0,0,26,0.5,53
"Roberto Luongo","Florida Panthers",4533333,"G",0,0,26,0.5,53
"Scott Wedgewood","New Jersey Devils",2112642.72596154,"G",0,0,26,0.5,53
"Tom McCollum","Calgary Flames",612500,"G",0,0,26,0.5,53
"Troy Grosenick","San Jose Sharks",650000,"G",0,0,26,0.5,53
